Time,BTC average daily block size,Price
2011-03-14,7853.918918918919,0.8949
2011-03-15,8891.356435643564,0.8711200000000001
2011-03-16,6252.986394557823,0.8599899999999999
2011-03-17,7445.704918032787,0.82542
2011-03-18,5683.085714285714,0.81648
2011-03-19,8598.927927927927,0.765
2011-03-20,6427.151515151515,0.7410800000000001
2011-03-21,15205.211267605633,0.75897
2011-03-22,5781.689393939394,0.80901
2011-03-23,7978.222222222223,0.8497100000000001
2011-03-24,6171.376543209876,0.8668799999999999
2011-03-25,5166.632653061224,0.8837700000000001
2011-03-26,5789.64238410596,0.8552
2011-03-27,7078.6466666666665,0.8275399999999999
2011-03-28,7499.2531645569625,0.79898
2011-03-29,6381.4625,0.7925
2011-03-30,3772.2327044025155,0.7897
2011-03-31,4140.546875,0.78461
2011-04-01,3514.978260869565,0.7741100000000001
2011-04-02,3515.9358288770054,0.78199
2011-04-03,3340.5421686746986,0.779
2011-04-04,4487.0,0.68
2011-04-05,4181.171717171717,0.71
2011-04-06,4422.4295302013425,0.74
2011-04-07,4313.7467532467535,0.7538
2011-04-08,4061.1858974358975,0.7499899999999999
2011-04-09,3956.8231707317073,0.746584
2011-04-10,3582.408284023669,0.7369
2011-04-11,4996.980132450331,0.77
2011-04-12,4948.736526946108,0.86
2011-04-13,5141.63959390863,0.93115
2011-04-14,6430.819277108434,0.99936
2011-04-15,6767.413043478261,0.9869040000000002
2011-04-16,6207.524096385542,1.0499
2011-04-17,4839.011363636364,1.13057
2011-04-18,6204.154838709677,1.16199
2011-04-19,9155.442857142858,1.1965
2011-04-20,9376.16447368421,1.1421
2011-04-21,4250.7594936708865,1.208
2011-04-22,4703.666666666667,1.40901
